Peak,ν(F1) [ppm],Intensity [abs],Annotation
1,8.4439,395371.94,
2,7.868,68649.12,
3,7.4227,100341.31,
4,7.4195,108077.62,
5,7.4173,115345.25,
6,7.4148,118037.81,
7,7.4043,83895.5,
8,7.3992,65840.5,
9,7.3704,78933.56,
10,7.3565,62227.31,
11,7.3531,54782.94,
12,7.3168,116939.12,
13,7.3146,117158.31,
14,7.2985,59198.81,
15,7.1928,54049.62,
16,7.1827,71907.5,
17,7.1816,76790.12,
18,7.1792,73874.44,
19,7.1764,73398.94,
20,6.9028,63479.31,
21,6.8989,79262,
22,6.8945,86955.19,
23,6.8911,80649.25,
24,6.8907,80172.69,
25,6.8902,78482.88,
26,6.8871,78810.19,
27,6.8814,72264.5,
28,6.8783,61167.75,
29,6.877,57949.06,
30,5.9058,60001,
31,5.897,94615.19,
32,5.8864,88178.81,
33,5.8268,60489.62,
34,5.8257,59453.06,
35,5.4645,57418.06,
36,5.4607,61176.06,
37,5.4602,65785.56,
38,5.4561,65616.81,
39,5.4505,74199.06,
40,5.4329,132677.5,
41,5.4246,136903.06,
42,5.4224,146378.38,
43,5.3994,584378.31,
44,5.3736,116039.12,
45,5.3642,74284.94,
46,5.3596,66570.44,
47,5.3532,60310,
48,5.3499,59250.38,
49,5.3479,59043.69,
50,5.3401,57507.5,
51,5.3319,51269.5,
52,5.2993,52901.81,
53,5.2964,54972.69,
54,5.2957,60750.19,
55,5.2899,59741.88,
56,5.265,100000,
57,5.2614,97480,
58,5.2604,98660.38,
59,5.258,97712.44,
60,5.2412,117329.06,
61,5.2239,418873.25,
62,5.2038,208529.81,
63,5.1844,558982.56,
64,5.1619,87691.38,
65,5.1552,63327.12,
66,5.1154,53409.25,
67,5.1126,63303.5,
68,5.1068,64805.44,
69,5.1045,62411.38,
70,5.1041,59382.69,
71,5.1007,57574.81,
72,4.8377,204672.19,
73,4.8366,209640.75,
74,4.8225,881388.12,
75,4.8202,866614.56,
76,4.812,2085309.69,
77,4.778,728642.56,
78,4.7545,1705387.25,
79,4.7223,805479.19,
80,4.7192,806081.44,
81,4.7162,812599.88,
82,4.6863,1055379.62,
83,4.685,1062366.31,
84,4.6793,1085854.38,
85,4.6777,1085701.06,
86,4.6752,1085843.94,
87,4.6707,1092492.31,
88,4.6652,1088393,
89,4.6544,1079549.06,
90,4.6367,1021653.19,
91,4.6319,1000013.12,
92,4.6288,972201.19,
93,4.6253,946235.12,
94,4.6194,905135.62,
95,4.6183,898645.5,
96,4.6078,822320.75,
97,4.5883,680676.88,
98,4.5843,664084.5,
99,4.5721,578692.81,
100,4.548,436696.94,
101,4.5379,385743,
102,4.536,379246.31,
103,4.5303,355827.25,
104,4.4983,222736.5,
105,4.4886,182376.81,
106,4.4749,136515.94,
107,4.4605,92374,
108,4.4476,67024.56,
109,4.4471,67637.94,
110,4.4443,69193.31,
111,4.4415,67367.44,
112,4.4395,64165.88,
113,4.436,60732.44,
114,4.4335,61926.62,
115,4.4325,56310.31,
116,4.431,57453.12,
117,4.4226,55907.38,
118,4.4213,54315.5,
119,4.4194,52406.69,
120,4.4181,52444.5,
121,4.4162,54505.88,
122,4.4046,60701.12,
123,4.4042,61276.06,
124,4.3927,71029.88,
125,4.391,69465.56,
126,4.3762,98314.06,
127,4.3755,98083.62,
128,4.3707,103936.44,
129,4.366,107940.31,
130,4.3618,107612.06,
131,4.3608,103287.31,
132,4.3549,107530.38,
133,4.3501,103458.56,
134,4.3425,102691.06,
135,4.3335,100976.06,
136,4.324,106119.69,
137,4.3207,108626.25,
138,4.3006,104403,
139,4.2936,106999.19,
140,4.2912,111242.19,
141,4.2735,144290.5,
